words,links,capital_words,spam_word_count,is_spam
90,0,2,2,0
129,6,20,1,1
174,2,2,3,0
959,3,28,4,1
62,0,1,1,0
93,0,3,2,0
978,6,3,3,1
131,1,2,4,0
101,8,29,7,1
836,1,0,7,1
91,2,2,2,0
219,2,9,2,0
103,8,6,10,1
763,6,1,3,1
39,4,0,1,0
153,2,0,4,0
110,0,3,1,0
858,10,30,6,1
352,2,0,5,0
31,2,2,0,0
147,0,3,2,0
428,1,0,1,0
275,0,1,0,0
151,1,2,6,0
123,3,4,7,1
536,0,13,6,1
995,10,7,9,1
322,9,22,9,1
241,5,26,3,1
152,1,3,2,0
26,0,6,3,0
269,2,0,5,0
33,2,1,1,0
202,1,1,2,0
72,2,19,4,1
439,5,7,7,1
343,4,13,7,1
186,1,4,2,0
532,9,15,10,1
164,9,25,6,1
180,5,7,10,1
132,3,23,3,1
644,8,15,4,1
596,2,6,2,1
715,2,14,7,1
125,8,28,10,1
45,0,2,2,0
778,4,28,6,1
184,6,13,3,1
21,1,7,3,0
734,5,20,5,1
101,1,7,7,1
855,2,15,3,1
213,0,0,2,0
175,1,1,0,0
425,6,2,5,1
749,4,1,10,1
213,0,4,0,0
89,2,2,2,0
126,0,13,10,1
135,5,3,0,0
90,8,23,6,1
287,2,4,0,0
245,5,28,7,1
872,7,1,10,1
166,9,29,7,1
149,6,5,0,1
412,6,6,4,1
149,3,5,10,1
60,1,7,3,0
406,0,1,0,0
125,2,3,6,0
265,2,6,6,0
689,10,21,1,1
90,3,7,5,1
277,1,10,0,0
143,4,0,8,1
82,3,26,9,1
997,4,30,3,1
306,0,26,10,1
168,3,21,3,1
111,2,0,3,0
173,2,3,0,0
905,4,11,8,1
253,0,0,2,0
249,0,3,2,0
57,5,12,7,1
43,2,1,1,0
434,8,20,9,1
767,5,4,6,1
82,3,17,6,1
80,4,19,6,1
623,9,5,3,1
290,2,2,2,0
168,3,6,0,1
294,0,2,1,0
838,2,6,9,1
820,3,20,6,1
62,0,3,3,0
250,1,4,1,0
156,3,11,6,1
357,1,3,1,0
207,0,3,1,0
981,3,13,7,1
182,1,0,0,0
177,2,3,1,0
243,2,2,4,0
901,3,28,6,1
287,2,0,0,0
33,1,3,1,0
474,4,13,3,1
95,8,13,3,1
431,9,21,2,1
130,1,2,2,0
962,8,5,5,1
193,6,1,8,1
127,9,2,7,1
791,8,19,8,1
187,4,9,5,1
119,5,1,6,0
125,1,1,0,0
92,6,11,10,1
641,1,8,7,1
225,0,3,6,0
210,0,0,4,0
923,4,20,5,1
192,9,5,10,1
142,0,1,10,1
286,1,7,4,0
133,2,0,0,0
81,10,0,8,1
54,1,1,6,0
420,2,20,5,1
23,0,3,2,0
78,1,1,2,0
75,3,7,6,1
33,1,6,1,0
128,2,2,2,0
195,3,12,9,1
107,1,1,0,0
185,0,3,0,0
582,9,9,3,1
63,2,5,2,0
219,1,8,0,0
768,9,4,2,1
868,10,16,5,1
143,2,1,1,0
127,2,30,4,1
126,0,1,2,0
738,4,28,7,1
74,0,2,0,0
237,0,7,2,0
202,0,2,0,0
170,2,2,2,0
217,8,24,2,1
937,2,10,7,1
305,8,12,4,1
600,8,15,6,1
203,0,2,6,0
129,3,14,3,1
94,0,0,0,0
198,6,19,1,1
138,5,8,7,1
162,4,2,5,0
951,6,21,10,1
119,0,3,1,0
429,1,2,2,0
455,1,3,0,0
304,1,6,2,0
649,9,5,9,1
608,10,8,6,1
150,0,1,1,0
279,6,10,7,1
292,1,2,1,0
405,9,1,4,1
940,2,9,2,1
311,1,8,5,1
114,0,0,0,0
139,8,2,0,1
289,3,3,3,0
880,1,17,7,1
872,5,0,10,1
638,9,1,6,1
289,2,3,0,0
82,0,24,6,1
338,2,1,2,0
204,2,1,2,0
